X,popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,explicit,disc_number,track_number,uri,tempo,type,key,loudness,mode,speechiness,liveness,valence,danceability,energy,track_href,analysis_url,duration_ms,time_signature,acousticness,instrumentalness,artist_genres,artist_popularity,album_popularity,album_release_date,,,
915,68,4vDBJeeQCbhP9FaPPMsYkY,7oPgCQqMMXEXrNau5vxYZP,3XsOzkIBoHsxZ7jP3QF2oB,Give Me One Reason,Tracy Chapman,New Beginning,FALSE,1,9,spotify:track:4vDBJeeQCbhP9FaPPMsYkY,100.22,audio_features,11,-10.016,1,0.0331,0.108,0.602,0.608,0.419,https://api.spotify.com/v1/tracks/4vDBJeeQCbhP9FaPPMsYkY,https://api.spotify.com/v1/audio-analysis/4vDBJeeQCbhP9FaPPMsYkY,268333,4,0.602,7.58E-06,folk,69,59,10/31/1995,,,
942,64,4tMxTsEPybFSX1dq7BOC4K,3koiLjNrgRTNbOwViDipeA,3ocIMWOUAdfgk0PZhFyFcM,I Heard It Through The Grapevine - Single Version (Mono),Marvin Gaye,Anthology: The Best Of Marvin Gaye,FALSE,1,25,spotify:track:4tMxTsEPybFSX1dq7BOC4K,118.441,audio_features,11,-6.18,1,0.0371,0.106,0.688,0.735,0.52,https://api.spotify.com/v1/tracks/4tMxTsEPybFSX1dq7BOC4K,https://api.spotify.com/v1/audio-analysis/4tMxTsEPybFSX1dq7BOC4K,193493,4,0.255,0,disco,75,54,1/1/1995,,,
969,55,7pHh9sGZfb7AMoi4NLLYTo,3koiLjNrgRTNbOwViDipeA,3ocIMWOUAdfgk0PZhFyFcM,Got To Give It Up (Pt. 1),Marvin Gaye,Anthology: The Best Of Marvin Gaye,FALSE,2,16,spotify:track:7pHh9sGZfb7AMoi4NLLYTo,122.644,audio_features,11,-9.354,0,0.0433,0.344,0.887,0.864,0.844,https://api.spotify.com/v1/tracks/7pHh9sGZfb7AMoi4NLLYTo,https://api.spotify.com/v1/audio-analysis/7pHh9sGZfb7AMoi4NLLYTo,252640,4,0.206,0.000603,disco,75,54,1/1/1995,,,
978,58,4njseCGxWeZUksjhrqkleT,3koiLjNrgRTNbOwViDipeA,4QzwFXkYn1onuH5wr2AcYY,Ain't No Mountain High Enough - Mono Version,Marvin Gaye,Anthology,FALSE,1,16,spotify:track:4njseCGxWeZUksjhrqkleT,129.168,audio_features,7,-6.005,1,0.0324,0.152,0.886,0.621,0.825,https://api.spotify.com/v1/tracks/4njseCGxWeZUksjhrqkleT,https://api.spotify.com/v1/audio-analysis/4njseCGxWeZUksjhrqkleT,148093,4,0.355,0.000932,disco,75,47,1/1/1995,,,
990,67,2JdzB67NvIa90K4gEZPLeX,1lZvg4fNAqHoj6I9N8naBM,5xxeAo8AVneH1OKO5vR604,Lump,The Presidents Of The United States Of America,The Presidents of The United States of America: Ten Year Super Bonus Special Anniversary Edition,FALSE,1,3,spotify:track:2JdzB67NvIa90K4gEZPLeX,142.726,audio_features,6,-3.902,1,0.0386,0.165,0.864,0.499,0.873,https://api.spotify.com/v1/tracks/2JdzB67NvIa90K4gEZPLeX,https://api.spotify.com/v1/audio-analysis/2JdzB67NvIa90K4gEZPLeX,134200,4,0.00468,0,alternative metal,59,60,1995,,,
1017,64,3VEFybccRTeWSZRkJxDuNR,1lZvg4fNAqHoj6I9N8naBM,5xxeAo8AVneH1OKO5vR604,Peaches,The Presidents Of The United States Of America,The Presidents of The United States of America: Ten Year Super Bonus Special Anniversary Edition,FALSE,1,6,spotify:track:3VEFybccRTeWSZRkJxDuNR,94.267,audio_features,1,-4.199,0,0.0481,0.0673,0.594,0.417,0.849,https://api.spotify.com/v1/tracks/3VEFybccRTeWSZRkJxDuNR,https://api.spotify.com/v1/audio-analysis/3VEFybccRTeWSZRkJxDuNR,171693,4,0.0146,0.000387,alternative metal,59,60,1995,,,
1071,72,5jafMI8FLibnjkYTZ33m0c,4Z8W4fKeB5YxbusRsdQVPb,500FEaUzn8lN9zWFyZG5C2,High And Dry,Radiohead,The Bends,FALSE,1,3,spotify:track:5jafMI8FLibnjkYTZ33m0c,87.773,audio_features,4,-11.782,1,0.0257,0.0896,0.352,0.418,0.383,https://api.spotify.com/v1/tracks/5jafMI8FLibnjkYTZ33m0c,https://api.spotify.com/v1/audio-analysis/5jafMI8FLibnjkYTZ33m0c,257480,4,0.0718,0.0177,alternative rock,79,68,3/28/1995,,,
1098,70,045sp2JToyTaaKyXkGejPy,4Z8W4fKeB5YxbusRsdQVPb,500FEaUzn8lN9zWFyZG5C2,Fake Plastic Trees,Radiohead,The Bends,FALSE,1,4,spotify:track:045sp2JToyTaaKyXkGejPy,73.552,audio_features,2,-12.592,1,0.0297,0.202,0.134,0.454,0.229,https://api.spotify.com/v1/tracks/045sp2JToyTaaKyXkGejPy,https://api.spotify.com/v1/audio-analysis/045sp2JToyTaaKyXkGejPy,290707,4,0.167,0.102,alternative rock,79,68,3/28/1995,,,
1116,64,6iNcyWk5iUEY7P9zeTc5hm,3qbnxnvUqR14MJ9g8QwZJK,6FoiXUlfC8amjO8yqmYZM5,Amazed,Lonestar,Playlist: The Very Best Of Lonestar,FALSE,1,3,spotify:track:6iNcyWk5iUEY7P9zeTc5hm,139.821,audio_features,1,-7.954,1,0.0319,0.125,0.253,0.557,0.553,https://api.spotify.com/v1/tracks/6iNcyWk5iUEY7P9zeTc5hm,https://api.spotify.com/v1/audio-analysis/6iNcyWk5iUEY7P9zeTc5hm,239987,4,0.247,0,contemporary country,59,56,1995,,,
1143,55,2CVJECHIdpe8otFH0XFI4F,3qbnxnvUqR14MJ9g8QwZJK,6FoiXUlfC8amjO8yqmYZM5,My Front Porch Looking In,Lonestar,Playlist: The Very Best Of Lonestar,FALSE,1,9,spotify:track:2CVJECHIdpe8otFH0XFI4F,102.703,audio_features,5,-5.62,1,0.0511,0.311,0.454,0.529,0.811,https://api.spotify.com/v1/tracks/2CVJECHIdpe8otFH0XFI4F,https://api.spotify.com/v1/audio-analysis/2CVJECHIdpe8otFH0XFI4F,223573,4,0.0317,0,contemporary country,59,56,1995,,,
1152,62,7jIujRjK5JKNrMCcAvYUTN,6DPYiyq5kWVQS4RGwxzPC7,28jbQJCBOGrZHnrkTb6uw5,Keep Their Heads Ringin',Dr. Dre,Friday (Original Motion Picture Soundtrack),TRUE,1,2,spotify:track:7jIujRjK5JKNrMCcAvYUTN,90.574,audio_features,9,-4.214,0,0.109,0.136,0.219,0.672,0.785,https://api.spotify.com/v1/tracks/7jIujRjK5JKNrMCcAvYUTN,https://api.spotify.com/v1/audio-analysis/7jIujRjK5JKNrMCcAvYUTN,305573,4,0.0442,0.00253,g funk,80,53,4/11/1995,,,
1179,62,0pdfN7nOHMYmKykzu1cyfm,5e4Dhzv426EvQe3aDb64jL,3wDeIA9tJU0uNlsroUdcYK,Any Man Of Mine,Shania Twain,The Woman In Me,FALSE,1,2,spotify:track:0pdfN7nOHMYmKykzu1cyfm,156.417,audio_features,3,-8.637,1,0.0632,0.119,0.778,0.554,0.726,https://api.spotify.com/v1/tracks/0pdfN7nOHMYmKykzu1cyfm,https://api.spotify.com/v1/audio-analysis/0pdfN7nOHMYmKykzu1cyfm,246760,4,0.251,0,canadian country,70,54,1/1/1995,,,
1206,64,1G8jae4jD8mwkXdodqHsBM,2sil8z5kiy4r76CRTXxBCA,1JjGR7DtSA3aRpG99KbhxJ,Name,The Goo Goo Dolls,A Boy Named Goo,FALSE,1,6,spotify:track:1G8jae4jD8mwkXdodqHsBM,73.97,audio_features,9,-5.943,1,0.0341,0.0766,0.407,0.464,0.701,https://api.spotify.com/v1/tracks/1G8jae4jD8mwkXdodqHsBM,https://api.spotify.com/v1/audio-analysis/1G8jae4jD8mwkXdodqHsBM,270000,4,0.0691,0.00182,alternative rock,71,54,3/10/1995,,,
1233,63,5ubqSAc9LxUS2CsMHcA4kF,6IE6z7DcZIT4Ml3Fh5Ivch,2IevUWpkZ9KUcr6ZhtklE0,Como La Flor,Selena,Dreaming Of You,FALSE,1,11,spotify:track:5ubqSAc9LxUS2CsMHcA4kF,91.167,audio_features,10,-7.708,1,0.0405,0.375,0.883,0.632,0.738,https://api.spotify.com/v1/tracks/5ubqSAc9LxUS2CsMHcA4kF,https://api.spotify.com/v1/audio-analysis/5ubqSAc9LxUS2CsMHcA4kF,184733,4,0.179,6.11E-06,latin,67,57,1995,,,
1287,61,5EL8hqM8YQJHKKnzGdahly,6IE6z7DcZIT4Ml3Fh5Ivch,2IevUWpkZ9KUcr6ZhtklE0,Dreaming Of You,Selena,Dreaming Of You,FALSE,1,5,spotify:track:5EL8hqM8YQJHKKnzGdahly,82.899,audio_features,0,-10.879,0,0.0305,0.0583,0.221,0.612,0.446,https://api.spotify.com/v1/tracks/5EL8hqM8YQJHKKnzGdahly,https://api.spotify.com/v1/audio-analysis/5EL8hqM8YQJHKKnzGdahly,314867,4,0.345,0.000108,latin,67,57,1995,,,
